Order ID,Order Date,Year,Order Qty,Cost of Sales,Sales,Profit,Channel,Product Name,Manufacturer,Brand Name,Product Sub Category,Product Category,Region,City,Country
619,19/6/2013,2013,12,4192.58,3590.76,-601.82,Online,Contoso 8GB Clock & Radio MP3 Player X850 Green,"Contoso, Ltd",Contoso,MP4&MP3,Audio,Asia,Beijing,China
625,13/7/2014,2014,20,24.42,3180.00,3155.58,Online,"Proseware Color Ink Jet Fax, Copier, Phone M250 Black","Proseware, Inc.",Proseware,"Printers, Scanners & Fax",Computers,Asia,Beijing,China
523,17/11/2014,2014,26,5126.86,5078.73,-48.13,Online,WWI 2GB Pulse Smart pen M100 Blue,Wide World Importers,Wide World Importers,Recording Pen,Audio,Asia,Beijing,China
879,8/6/2014,2014,6,686.79,1776.00,1089.21,Online,WWI 4GB Video Recording Pen X200 Red,Wide World Importers,Wide World Importers,Recording Pen,Audio,Asia,Beijing,China
7409,6/6/2013,2013,12,261.39,3552.00,3290.61,Online,WWI 4GB Video Recording Pen X200 Yellow,Wide World Importers,Wide World Importers,Recording Pen,Audio,Asia,Beijing,China
1170,4/9/2014,2014,20,2030.95,3120.00,1089.05,Online,WWI 1GB Digital Voice Recorder Pen E100 Black,Wide World Importers,Wide World Importers,Recording Pen,Audio,Asia,Beijing,China
1154,7/12/2013,2013,26,3704.78,3991.75,286.97,Online,Contoso DVD 9-Inch Player Portable M300 Silver,"Contoso, Ltd",Contoso,Movie DVD,"Music, Movies and Audio Books",Asia,Beijing,China
1572,19/1/2014,2014,9,2927.19,3321.00,393.81,Online,SV Car Video LCD7 M7002 Black,Southridge Video,Southridge Video,Car Video,TV and Video,Asia,Beijing,China
7548,29/1/2013,2013,18,4.65,705.57,700.92,Online,NT Wireless Bluetooth Stereo Headphones E302 Silver,Northwind Traders,Northwind Traders,Bluetooth Headphones,Audio,Asia,Beijing,China
7056,4/9/2012,2012,10,5547.73,6990.00,1442.27,Online,WWI Projector 720p LCD56 Black,Wide World Importers,Wide World Importers,Projectors & Screens,Computers,Asia,Beijing,China
657,11/9/2013,2013,20,2798.77,4380.00,1581.23,Online,Contoso DVD Recorder L210 Silver,"Contoso, Ltd",Contoso,Movie DVD,"Music, Movies and Audio Books",Asia,Beijing,China
7059,24/12/2012,2012,13,1320.51,2345.60,1025.08,Online,A. Datum Bridge Digital Camera M300 Orange,A. Datum Corporation,A. Datum,Digital Cameras,Cameras and camcorders ,Asia,Beijing,China
969,13/5/2013,2013,12,232.68,1159.88,927.20,Online,NT Wireless Bluetooth Stereo Headphones M402 Purple,Northwind Traders,Northwind Traders,Bluetooth Headphones,Audio,Asia,Beijing,China
7061,4/2/2013,2013,36,13.64,2373.60,2359.96,Online,Proseware CRT19 E201 White,"Proseware, Inc.",Proseware,Monitors,Computers,Asia,Beijing,China
7740,9/8/2012,2012,25,300.75,7497.50,7196.75,Online,Litware Home Theater System 2.1 Channel E212 Brown,"Litware, Inc.",Litware ,Home Theater System,TV and Video,Asia,Beijing,China
7605,30/8/2013,2013,10,31.85,1869.00,1837.15,Online,A. Datum Bridge Digital Camera M300 Green,A. Datum Corporation,A. Datum,Digital Cameras,Cameras and camcorders ,Asia,Beijing,China
7069,19/12/2011,2011,6,128.05,735.30,607.25,Online,WWI LCD17W E200 White,Wide World Importers,Wide World Importers,Monitors,Computers,Asia,Beijing,China
1755,10/2/2012,2012,4,1.95,215.68,213.73,Online,WWI Stereo Bluetooth Headphones E1000 Green,Wide World Importers,Wide World Importers,Bluetooth Headphones,Audio,Asia,Beijing,China
7119,25/1/2012,2012,9,11.18,3018.40,3007.22,Store,Contoso SLR Camera M145 Blue,"Contoso, Ltd",Contoso,Digital SLR Cameras,Cameras and camcorders ,North America,Yakima,United States
689,29/1/2013,2013,12,947.69,3562.88,2615.19,Store,Contoso SLR Camera M143 Grey,"Contoso, Ltd",Contoso,Digital SLR Cameras,Cameras and camcorders ,Europe,Cheshire,United Kingdom
7015,10/11/2013,2013,8,32.83,754.80,721.97,Store,Proseware Photo Inkjet Printer E290 Green,"Proseware, Inc.",Proseware,"Printers, Scanners & Fax",Computers,Europe,Cheshire,United Kingdom
7020,19/3/2013,2013,12,99.57,372.00,272.43,Store,Contoso Integrated Business Phone L08 White,"Contoso, Ltd",Contoso,Home & Office Phones,Cell phones,Europe,Cheshire,United Kingdom
698,26/4/2014,2014,20,5896.01,6080.00,183.99,Store,Contoso SLR Camera M143 Grey,"Contoso, Ltd",Contoso,Digital SLR Cameras,Cameras and camcorders ,North America,Cle Elum,United States
7043,12/4/2012,2012,15,547.69,4048.50,3500.81,Store,WWI Desktop PC1.80 E1801 Black,Wide World Importers,Wide World Importers,Desktops,Computers,North America,Westminster,Canada
7080,15/11/2013,2013,13,5200.40,7900.20,2699.80,Store,Fabrikam SLR Camera X149 Blue,"Fabrikam, Inc.",Fabrikam,Digital SLR Cameras,Cameras and camcorders ,North America,Pittsfield,United States
7052,23/3/2012,2012,5,285.43,134.50,-150.93,Store,Contoso Bright Light battery E20 Pink,"Contoso, Ltd",Contoso,Computers Accessories,Computers,North America,Pittsfield,United States
7022,18/10/2014,2014,13,2336.12,2519.37,183.25,Store,WWI 2GB Pulse Smart pen M100 Silver,Wide World Importers,Wide World Importers,Recording Pen,Audio,North America,Baytown,United States
1260,24/5/2012,2012,5,2.62,64.95,62.33,Online,Contoso 512MB MP3 Player E51 Silver,"Contoso, Ltd",Contoso,MP4&MP3,Audio,Europe,Berlin,Germany
7084,11/4/2012,2012,10,40.93,4090.00,4049.07,Online,Contoso Home Theater System 4.1 Channel M1400 Brown,"Contoso, Ltd",Contoso,Home Theater System,TV and Video,Europe,Berlin,Germany
7728,22/8/2013,2013,9,387.83,1478.91,1091.09,Online,"Adventure Works 20"" CRT TV E15 White",Adventure Works,Adventure Works,Televisions,TV and Video,Europe,Berlin,Germany
416,13/12/2011,2011,16,4865.16,4836.00,-29.16,Online,The Phone Company Smart phones Unlocked International M800 Gold,The Phone Company,The Phone Company,Smart phones & PDAs ,Cell phones,Europe,Berlin,Germany
273,19/11/2013,2013,8,61.63,574.83,513.20,Online,Contoso 4GB Flash MP3 Player E401 Blue,"Contoso, Ltd",Contoso,MP4&MP3,Audio,Europe,Berlin,Germany
837,17/6/2013,2013,10,117.07,959.50,842.43,Online,Contoso 4GB Portable MP3 Player M450 Black,"Contoso, Ltd",Contoso,MP4&MP3,Audio,Europe,Berlin,Germany
407,23/11/2014,2014,16,758.52,3433.60,2675.08,Online,Contoso 16GB New Generation MP5 Player M1650 Silver,"Contoso, Ltd",Contoso,MP4&MP3,Audio,Europe,Berlin,Germany
6990,23/11/2014,2014,32,47.55,1372.80,1325.25,Online,SV Keyboard E10 Grey,Southridge Video,Southridge Video,Computers Accessories,Computers,Europe,Berlin,Germany
7339,28/9/2014,2014,16,86.67,3526.40,3439.73,Online,Contoso 16GB New Generation MP5 Player M1650 White,"Contoso, Ltd",Contoso,MP4&MP3,Audio,Europe,Berlin,Germany
161,2/2/2013,2013,24,1627.13,1150.80,-476.33,Online,NT Wireless Bluetooth Stereo Headphones E102 Silver,Northwind Traders,Northwind Traders,Bluetooth Headphones,Audio,Europe,Berlin,Germany
7045,4/11/2012,2012,8,2.52,455.40,452.88,Online,Adventure Works CRT19 E10 Black,Adventure Works,Adventure Works,Monitors,Computers,Europe,Berlin,Germany
840,29/10/2013,2013,8,2566.69,1287.00,-1279.69,Online,Fabrikam Social Videographer 1/3'' 8.5mm E200 Black,"Fabrikam, Inc.",Fabrikam  ,Camcorders,Cameras and camcorders ,Europe,Berlin,Germany
7410,12/8/2014,2014,9,5.70,2199.91,2194.21,Online,WWI Wireless Transmitter and Bluetooth Headphones X250 Blue,Wide World Importers,Wide World Importers,Bluetooth Headphones,Audio,Europe,Berlin,Germany
7280,12/12/2013,2013,9,700.03,1769.56,1069.52,Store,WWI 2GB Pulse Smart pen M100 Blue,Wide World Importers,Wide World Importers,Recording Pen,Audio,Europe,Cambridge,United Kingdom
7682,3/8/2012,2012,5,11.62,72.60,60.98,Store,Contoso 1G MP3 Player E100 White,"Contoso, Ltd",Contoso,MP4&MP3,Audio,Asia,Ashgabat,Turkmenistan
1472,8/12/2012,2012,13,279.48,20080.00,19800.52,Store,Fabrikam Independent Filmmaker 1'' 25mm X400 Grey,"Fabrikam, Inc.",Fabrikam  ,Camcorders,Cameras and camcorders ,Asia,Ashgabat,Turkmenistan
931,11/6/2013,2013,12,25.00,258.84,233.84,Reseller,Contoso 2G MP3 Player E200 Silver,"Contoso, Ltd",Contoso,MP4&MP3,Audio,North America,Seattle,United States
680,25/3/2013,2013,20,417.93,431.40,13.47,Reseller,Contoso 2G MP3 Player E200 Black,"Contoso, Ltd",Contoso,MP4&MP3,Audio,North America,Seattle,United States
7374,27/11/2014,2014,13,242.97,8947.20,8704.23,Reseller,Adventure Works Laptop15 M1501 Red,Adventure Works,Adventure Works,Laptops,Computers,North America,Seattle,United States
329,23/7/2013,2013,12,1270.23,2748.00,1477.77,Reseller,Proseware Professional Quality Plain-Paper Fax and Copier X100 Grey,"Proseware, Inc.",Proseware,"Printers, Scanners & Fax",Computers,North America,Seattle,United States
1501,5/6/2013,2013,12,209.89,932.16,722.27,Reseller,Contoso 4GB Flash MP3 Player E401 White,"Contoso, Ltd",Contoso,MP4&MP3,Audio,North America,Seattle,United States
7327,12/11/2013,2013,13,1599.77,7667.20,6067.43,Reseller,Litware Home Theater System 5.1 Channel M514 Silver,"Litware, Inc.",Litware ,Home Theater System,TV and Video,North America,Seattle,United States
6983,1/9/2013,2013,24,31.79,3175.80,3144.01,Reseller,Contoso 8GB MP3 Player new model M820 Black,"Contoso, Ltd",Contoso,MP4&MP3,Audio,North America,Seattle,United States
7088,30/8/2013,2013,24,829.13,11847.63,11018.50,Reseller,Adventure Works Desktop PC1.80 ED182 White,Adventure Works,Adventure Works,Desktops,Computers,North America,Seattle,United States
890,2/9/2012,2012,72,7473.52,35642.87,28169.35,Reseller,Adventure Works Desktop PC1.80 ED182 White,Adventure Works,Adventure Works,Desktops,Computers,North America,Seattle,United States
7109,15/1/2014,2014,18,1330.68,5802.80,4472.12,Reseller,Proseware Laptop8.9 E089 Black,"Proseware, Inc.",Proseware,Laptops,Computers,North America,Seattle,United States
939,15/9/2013,2013,10,2749.76,2550.00,-199.76,Reseller,Contoso 32GB Video MP3 Player M3200 Pink,"Contoso, Ltd",Contoso,MP4&MP3,Audio,North America,Seattle,United States
7338,14/3/2013,2013,20,2116.86,1919.00,-197.86,Reseller,Contoso 4GB Portable MP3 Player M450 White,"Contoso, Ltd",Contoso,MP4&MP3,Audio,North America,Seattle,United States
1337,29/12/2012,2012,9,183.17,2610.00,2426.83,Reseller,A. Datum Super-zoom Digital Camera X300 Azure,A. Datum Corporation,A. Datum,Digital Cameras,Cameras and camcorders ,North America,Seattle,United States
7261,4/7/2012,2012,18,332.04,447.01,114.97,Reseller,NT Bluetooth Stereo Headphones E52 Blue,Northwind Traders,Northwind Traders,Bluetooth Headphones,Audio,North America,Seattle,United States
722,21/11/2012,2012,120,200.66,567.85,367.19,Reseller,Contoso Rubberized Snap-On Cover Hard Case Cell Phone Protector E160 White,"Contoso, Ltd",Contoso,Cell phones Accessories,Cell phones,North America,Seattle,United States
7073,11/1/2014,2014,18,0.32,1974.32,1974.00,Reseller,SV DVD 7-Inch Player Portable E200 White,Southridge Video,Southridge Video,Movie DVD,"Music, Movies and Audio Books",North America,Seattle,United States
995,23/2/2014,2014,18,919.05,2035.50,1116.45,Reseller,WWI Wireless Bluetooth Stereo Headphones M270 Silver,Wide World Importers,Wide World Importers,Bluetooth Headphones,Audio,North America,Seattle,United States
1259,29/4/2014,2014,10,35.83,1150.00,1114.17,Reseller,WWI Wireless Bluetooth Stereo Headphones M270 White,Wide World Importers,Wide World Importers,Bluetooth Headphones,Audio,North America,Seattle,United States
374,23/9/2014,2014,20,89.81,431.40,341.59,Online,Contoso 2G MP3 Player E200 Red,"Contoso, Ltd",Contoso,MP4&MP3,Audio,North America,Bethesda,United States
7101,9/4/2014,2014,30,17512.16,47400.00,29887.84,Online,Fabrikam Independent filmmaker 1/2'' 3mm X300 White,"Fabrikam, Inc.",Fabrikam  ,Camcorders,Cameras and camcorders ,North America,Bethesda,United States
1147,21/12/2012,2012,9,653.63,2728.00,2074.37,Online,The Phone Company Smart phones Unlocked International M800 Gold,The Phone Company,The Phone Company,Smart phones & PDAs ,Cell phones,North America,Bethesda,United States
1344,2/2/2013,2013,9,54.76,978.56,923.79,Online,Contoso 8GB Super-Slim MP3/Video Player M800 Red,"Contoso, Ltd",Contoso,MP4&MP3,Audio,North America,Bethesda,United States
7095,20/7/2013,2013,96,20161.10,21886.48,1725.38,Online,WWI Desktop PC1.80 E1800 White,Wide World Importers,Wide World Importers,Desktops,Computers,North America,Bethesda,United States
1051,1/12/2014,2014,13,295.68,1715.20,1419.52,Online,Contoso 8GB MP3 Player new model M820 Yellow,"Contoso, Ltd",Contoso,MP4&MP3,Audio,North America,Bethesda,United States
7111,7/12/2012,2012,9,53.02,103.50,50.48,Online,Contoso Desktop Alternative Bundle E200 Black,"Contoso, Ltd",Contoso,Computers Accessories,Computers,North America,Bethesda,United States
7221,8/10/2013,2013,26,4408.78,7954.40,3545.62,Online,Proseware Laptop8.9 E089 Black,"Proseware, Inc.",Proseware,Laptops,Computers,North America,Bethesda,United States
552,26/11/2013,2013,13,2231.18,3977.20,1746.02,Online,Proseware Laptop8.9 E089 Black,"Proseware, Inc.",Proseware,Laptops,Computers,North America,Bethesda,United States
7550,29/5/2012,2012,30,1054.40,8700.00,7645.60,Online,A. Datum Super-zoom Digital Camera X300 Azure,A. Datum Corporation,A. Datum,Digital Cameras,Cameras and camcorders ,North America,Bethesda,United States
6999,20/6/2013,2013,12,677.12,2199.60,1522.48,Online,"Fabrikam Social Videographer 1"" 25mm E400 Blue","Fabrikam, Inc.",Fabrikam,Camcorders,Cameras and camcorders ,North America,Bethesda,United States
7003,16/5/2012,2012,10,90.89,1390.00,1299.11,Online,Contoso Screen 85in E085 Black,"Contoso, Ltd",Contoso,Projectors & Screens,Computers,North America,Bethesda,United States
7008,19/1/2014,2014,18,379.82,709.82,330.01,Online,Contoso Electronic Private Automatic Branch Exchange M90 Black,"Contoso, Ltd",Contoso,Home & Office Phones,Cell phones,North America,Bethesda,United States
7016,13/10/2013,2013,52,1287.70,13416.20,12128.50,Online,SV Car Video TFT6.2W E6281 Silver,Southridge Video,Southridge Video,Car Video,TV and Video,North America,Bethesda,United States
1518,19/9/2012,2012,10,112.85,479.50,366.65,Online,NT Wireless Bluetooth Stereo Headphones E102 Black,Northwind Traders,Northwind Traders,Bluetooth Headphones,Audio,North America,Bethesda,United States
61,21/1/2012,2012,12,559.52,3225.31,2665.78,Online,WWI Desktop PC1.80 E1801 Black,Wide World Importers,Wide World Importers,Desktops,Computers,North America,Bethesda,United States
7057,7/11/2012,2012,26,568.60,5431.20,4862.60,Online,Contoso DVD Recorder L210 Silver,"Contoso, Ltd",Contoso,Movie DVD,"Music, Movies and Audio Books",North America,Bethesda,United States
1588,30/4/2014,2014,10,2.79,1499.90,1497.11,Online,NT Wireless Transmitter and Bluetooth Headphones M150 Black,Northwind Traders,Northwind Traders,Bluetooth Headphones,Audio,North America,Bethesda,United States
1142,17/3/2014,2014,20,1379.99,2999.80,1619.81,Online,NT Wireless Transmitter and Bluetooth Headphones M150 Silver,Northwind Traders,Northwind Traders,Bluetooth Headphones,Audio,North America,Bethesda,United States
7517,14/3/2012,2012,5,559.39,1499.50,940.11,Online,Litware Home Theater System 2.1 Channel E212 Brown,"Litware, Inc.",Litware ,Home Theater System,TV and Video,North America,Bethesda,United States
1707,22/8/2013,2013,12,1008.21,1286.88,278.67,Online,SV DVD 7-Inch Player Portable E200 White,Southridge Video,Southridge Video,Movie DVD,"Music, Movies and Audio Books",North America,Bethesda,United States
6995,16/10/2012,2012,4,45.09,760.00,714.91,Store,Contoso Screen 100in E010 Black,"Contoso, Ltd",Contoso,Projectors & Screens,Computers,Europe,Leeds,United Kingdom
878,11/7/2013,2013,12,10.07,256.68,246.61,Store,Contoso 2G MP3 Player E200 Red,"Contoso, Ltd",Contoso,MP4&MP3,Audio,North America,Madison,United States
7030,12/9/2012,2012,5,4.24,107.85,103.61,Store,Contoso 2G MP3 Player E200 Black,"Contoso, Ltd",Contoso,MP4&MP3,Audio,North America,Plattsburgh,United States
7036,20/10/2012,2012,13,4099.12,4649.40,550.28,Store,SV Car Video LCD7 M7002 Black,Southridge Video,Southridge Video,Car Video,TV and Video,North America,Plattsburgh,United States
6977,28/6/2012,2012,20,6278.22,6200.00,-78.22,Reseller,The Phone Company PDA Wifi 3.7-inch M250 White,The Phone Company,The Phone Company,Smart phones & PDAs ,Cell phones,Europe,Paris,France
536,4/4/2014,2014,24,4335.47,4560.00,224.53,Reseller,Contoso Screen 100in E010 Black,"Contoso, Ltd",Contoso,Projectors & Screens,Computers,Europe,Paris,France
347,20/10/2012,2012,8,1323.31,1079.64,-243.67,Reseller,WWI 1GB Pulse Smart pen E50 Silver,Wide World Importers,Wide World Importers,Recording Pen,Audio,Europe,Paris,France
7482,13/8/2014,2014,18,2599.79,2776.80,177.01,Reseller,WWI 1GB Digital Voice Recorder Pen E100 White,Wide World Importers,Wide World Importers,Recording Pen,Audio,Europe,Paris,France
7393,30/7/2012,2012,9,904.31,6221.10,5316.79,Reseller,WWI Projector 720p LCD56 Black,Wide World Importers,Wide World Importers,Projectors & Screens,Computers,Europe,Paris,France
7074,20/2/2014,2014,6,1211.08,1626.99,415.91,Reseller,A. Datum Consumer Digital Camera E100 Green,A. Datum Corporation,A. Datum,Digital Cameras,Cameras and camcorders ,Europe,Paris,France
7248,29/7/2013,2013,9,234.85,1012.00,777.15,Reseller,WWI Wireless Bluetooth Stereo Headphones M270 Silver,Wide World Importers,Wide World Importers,Bluetooth Headphones,Audio,Europe,Paris,France
7443,23/6/2013,2013,12,8824.05,3720.00,-5104.05,Store,The Phone Company PDA Wifi 3.7-inch M250 White,The Phone Company,The Phone Company,Smart phones & PDAs ,Cell phones,Asia,Sydney,Australia
7249,22/8/2014,2014,18,4416.21,1067.82,-3348.39,Store,Contoso 4G MP3 Player E400 Silver,"Contoso, Ltd",Contoso,MP4&MP3,Audio,Europe,Ramstein,Germany
543,4/12/2012,2012,8,455.15,690.84,235.69,Store,Contoso 4GB Portable MP3 Player M450 Yellow,"Contoso, Ltd",Contoso,MP4&MP3,Audio,Europe,Ramstein,Germany
7644,8/5/2012,2012,5,31.40,220.00,188.60,Store,SV Keyboard E10 Grey,Southridge Video,Southridge Video,Computers Accessories,Computers,Europe,Ramstein,Germany
729,7/1/2012,2012,12,14.70,3631.32,3616.62,Store,The Phone Company Touch Screen Phones Capacitive M908 Black,The Phone Company,The Phone Company,Touch Screen Phones ,Cell phones,Europe,Ramstein,Germany
7104,2/1/2014,2014,13,273.99,9925.63,9651.64,Store,"Adventure Works 42"" LCD HDTV M55 Black",Adventure Works,Adventure Works,Televisions,TV and Video,Asia,Sydney,Australia
6996,13/3/2013,2013,10,106.99,599.90,492.91,Store,Contoso 4G MP3 Player E400 Orange,"Contoso, Ltd",Contoso,MP4&MP3,Audio,North America,Cheney,United States
7078,19/5/2014,2014,20,749.51,1519.80,770.29,Store,SV 40GB USB2.0 Portable Hard Disk E400 Silver,Southridge Video,Southridge Video,Computers Accessories,Computers,Europe,Glasgow,United Kingdom
104,1/3/2014,2014,18,742.64,1367.82,625.18,Store,SV 40GB USB2.0 Portable Hard Disk E400 Silver,Southridge Video,Southridge Video,Computers Accessories,Computers,Asia,Tehran,Iran
7647,24/5/2014,2014,12,674.37,7068.20,6393.83,Store,Litware Home Theater System 5.1 Channel M514 Silver,"Litware, Inc.",Litware ,Home Theater System,TV and Video,Asia,Tehran,Iran
7082,12/5/2012,2012,10,17.08,5690.00,5672.92,Store,Litware Home Theater System 5.1 Channel M515 Silver,"Litware, Inc.",Litware,Home Theater System,TV and Video,North America,Roanoke,United States
7099,9/2/2013,2013,9,2271.79,8010.00,5738.21,Store,"Fabrikam Business Videographer 1"" 25mm M600 Blue","Fabrikam, Inc.",Fabrikam  ,Camcorders,Cameras and camcorders ,North America,Calgary,Canada
1127,24/11/2013,2013,13,1858.96,719.80,-1139.16,Store,Adventure Works CRT17 E105 White,Adventure Works,Adventure Works,Monitors,Computers,North America,Calgary,Canada
126,7/2/2012,2012,9,351.06,3619.65,3268.59,Store,Contoso Home Theater System 4.1 Channel M1400 Brown,"Contoso, Ltd",Contoso,Home Theater System,TV and Video,North America,Denver,United States
1627,29/5/2012,2012,10,734.60,4090.00,3355.40,Store,Contoso Home Theater System 4.1 Channel M1400 Brown,"Contoso, Ltd",Contoso,Home Theater System,TV and Video,Europe,Munich,Germany
7001,10/1/2012,2012,12,298.49,1896.87,1598.38,Store,"Proseware Color Ink Jet Fax, Copier, Phone M250 Black","Proseware, Inc.",Proseware,"Printers, Scanners & Fax",Computers,Europe,Munich,Germany
1761,6/1/2012,2012,36,27938.63,17926.41,-10012.21,Store,Adventure Works Desktop PC1.80 ED182 White,Adventure Works,Adventure Works,Desktops,Computers,Europe,Liverpool,United Kingdom
7019,27/7/2012,2012,9,2305.81,6291.00,3985.19,Store,Proseware Projector 720p LCD56 White,"Proseware, Inc.",Proseware,Projectors & Screens,Computers,Europe,Liverpool,United Kingdom
7106,17/9/2012,2012,5,284.40,849.95,565.55,Store,"Adventure Works 20"" CRT TV E15 White",Adventure Works,Adventure Works,Televisions,TV and Video,Asia,Hong Kong,China
7580,13/1/2013,2013,9,762.42,1244.05,481.63,Store,Contoso Screen 85in E085 Black,"Contoso, Ltd",Contoso,Projectors & Screens,Computers,North America,Redmond,United States
7337,13/3/2012,2012,4,8.62,611.96,603.35,Reseller,"Adventure Works 20"" CRT TV E15 White",Adventure Works,Adventure Works,Televisions,TV and Video,Asia,Beijing,China
7160,10/9/2012,2012,10,4115.87,2992.30,-1123.57,Reseller,Contoso 8GB Clock & Radio MP3 Player X850 Black,"Contoso, Ltd",Contoso,MP4&MP3,Audio,Asia,Beijing,China
313,4/10/2014,2014,10,1848.74,5990.00,4141.26,Reseller,Litware Home Theater System 5.1 Channel M514 Silver,"Litware, Inc.",Litware ,Home Theater System,TV and Video,Asia,Beijing,China
7023,7/9/2013,2013,10,16.66,115.00,98.34,Reseller,Contoso Desktop Alternative Bundle E200 Black,"Contoso, Ltd",Contoso,Computers Accessories,Computers,Asia,Beijing,China
7739,4/3/2013,2013,9,379.39,738.00,358.61,Reseller,Adventure Works CRT15 E101 White,Adventure Works,Adventure Works,Monitors,Computers,Asia,Beijing,China
7000,20/8/2014,2014,20,4113.79,4960.00,846.21,Reseller,Proseware High-Performance Business-Class Laser Fax X200 White,"Proseware, Inc.",Proseware,"Printers, Scanners & Fax",Computers,Asia,Beijing,China
7002,22/2/2012,2012,9,499.07,3629.20,3130.13,Reseller,Fabrikam Budget Movie-Maker 1'' 25mm E400 Black,"Fabrikam, Inc.",Fabrikam  ,Camcorders,Cameras and camcorders ,Asia,Beijing,China
7007,23/11/2013,2013,13,347.15,1638.30,1291.15,Reseller,Proseware LCD17W E202 White,"Proseware, Inc.",Proseware,Monitors,Computers,Asia,Beijing,China
10,15/3/2014,2014,18,1735.27,1702.80,-32.47,Reseller,Adventure Works LCD17 E200 Black,Adventure Works,Adventure Works,Monitors,Computers,Asia,Beijing,China
7055,30/9/2012,2012,10,522.37,2190.00,1667.63,Reseller,Contoso DVD Recorder L230 Grey,"Contoso, Ltd",Contoso,Movie DVD,"Music, Movies and Audio Books",Asia,Beijing,China
1616,7/12/2012,2012,9,43.13,687.47,644.33,Store,Contoso 4GB Flash MP3 Player E401 Silver,"Contoso, Ltd",Contoso,MP4&MP3,Audio,North America,Renton,United States
7469,26/5/2014,2014,20,284.29,3399.80,3115.51,Catalog,"Adventure Works 20"" CRT TV E15 White",Adventure Works,Adventure Works,Televisions,TV and Video,North America,North Harford,United States
7096,8/9/2014,2014,10,4723.63,2990.00,-1733.63,Catalog,SV Car Video TFT7 M7000 Silver,Southridge Video,Southridge Video,Car Video,TV and Video,North America,North Harford,United States
7089,3/12/2013,2013,39,105.79,7480.00,7374.21,Catalog,A. Datum Rangefinder Digital Camera X200 Azure,A. Datum Corporation,A. Datum,Digital Cameras,Cameras and camcorders ,North America,North Harford,United States
7079,6/10/2014,2014,13,2482.90,7667.20,5184.30,Catalog,Litware Home Theater System 5.1 Channel M514 Silver,"Litware, Inc.",Litware ,Home Theater System,TV and Video,North America,North Harford,United States
7087,18/7/2014,2014,6,208.06,4866.40,4658.34,Catalog,Adventure Works LCD24W X300 White,Adventure Works,Adventure Works,Monitors,Computers,North America,North Harford,United States
